173-97: Vorausschätzung: Natürliche und räumliche Bevölkerungsbewegungen sowie Durchschnittsalter nach Geschlecht
Gebietsschlüssel;Gebietseinheit;Zeit;Geschlecht;Komponenten der Bevölkerungsprognose 1);Komponenten der Bevölkerungsprognose 1);Komponenten der Bevölkerungsprognose 1);Komponenten der Bevölkerungsprognose 1);Komponenten der Bevölkerungsprognose 1);Komponenten der Bevölkerungsprognose 1);Komponenten der Bevölkerungsprognose 1);Komponenten der Bevölkerungsprognose 1);Komponenten der Bevölkerungsprognose 1)
04011435;Osterfeuerberg (Ortsteil);2030;Männlich;23;27;-4;315;314;1;-3;2533;42,3
04011435;Osterfeuerberg (Ortsteil);2030;Weiblich;22;21;1;280;286;-5;-4;2417;44,1
04011435;Osterfeuerberg (Ortsteil);2030;Insgesamt;45;48;-3;595;600;-5;-8;4950;43,2
04011436;Hohweg (Ortsteil);2030;Männlich;1;3;-3;12;13;-1;-3;134;53,8
04011436;Hohweg (Ortsteil);2030;Weiblich;1;3;-2;12;13;-1;-3;128;55,7
04011436;Hohweg (Ortsteil);2030;Insgesamt;1;6;-4;24;26;-2;-6;262;54,7
04011437;Überseestadt (Ortsteil);2030;Männlich;2;3;-1;45;45;0;-1;256;48,7
04011437;Überseestadt (Ortsteil);2030;Weiblich;2;1;1;28;29;-1;0;278;50,2
04011437;Überseestadt (Ortsteil);2030;Insgesamt;3;4;0;73;74;-1;-1;534;49,5
0401144;Gröpelingen (Stadtteil);2030;Männlich;184;216;-32;2393;2392;1;-31;18272;42,1
0401144;Gröpelingen (Stadtteil);2030;Weiblich;174;188;-15;1787;1807;-20;-35;17104;43,8
0401144;Gröpelingen (Stadtteil);2030;Insgesamt;357;404;-47;4180;4199;-19;-66;35376;42,9
04011441;Lindenhof (Ortsteil);2030;Männlich;36;50;-14;634;629;5;-9;4303;42,8
04011441;Lindenhof (Ortsteil);2030;Weiblich;34;45;-11;440;438;2;-9;3811;44,9
04011441;Lindenhof (Ortsteil);2030;Insgesamt;70;95;-25;1075;1067;7;-18;8113;43,8
04011442;Gröpelingen (Ortsteil);2030;Männlich;55;50;5;564;574;-10;-5;4472;41,3
04011442;Gröpelingen (Ortsteil);2030;Weiblich;52;41;11;482;503;-22;-11;4478;42,5
04011442;Gröpelingen (Ortsteil);2030;Insgesamt;106;90;16;1045;1077;-31;-16;8950;41,9
04011443;Ohlenhof (Ortsteil);2030;Männlich;54;60;-6;661;665;-4;-10;5150;41,6
04011443;Ohlenhof (Ortsteil);2030;Weiblich;51;49;2;487;499;-12;-10;4461;42,5
04011443;Ohlenhof (Ortsteil);2030;Insgesamt;106;110;-4;1148;1164;-16;-20;9611;42,1
04011444;In den Wischen (Ortsteil);2030;Männlich;.;.;.;.;.;.;.;.;.
04011444;In den Wischen (Ortsteil);2030;Weiblich;.;.;.;.;.;.;.;.;.
04011444;In den Wischen (Ortsteil);2030;Insgesamt;.;.;.;.;.;.;.;.;.
04011445;Oslebshausen (Ortsteil);2030;Männlich;39;56;-17;534;525;10;-7;4344;42,9
04011445;Oslebshausen (Ortsteil);2030;Weiblich;37;53;-17;378;366;12;-5;4352;45,3
04011445;Oslebshausen (Ortsteil);2030;Insgesamt;76;110;-34;912;891;22;-12;8696;44,1
040115;Nord (Stadtbezirk);2030;Männlich;341;638;-297;4408;4210;198;-99;45636;46,1
040115;Nord (Stadtbezirk);2030;Weiblich;322;640;-318;3926;3797;128;-190;45543;48,7
040115;Nord (Stadtbezirk);2030;Insgesamt;663;1279;-616;8334;8007;327;-289;91179;47,4
0401151;Burglesum (Stadtteil);2030;Männlich;116;244;-127;1369;1278;92;-36;15272;46,8
0401151;Burglesum (Stadtteil);2030;Weiblich;110;274;-164;1301;1198;103;-62;15700;50,5
0401151;Burglesum (Stadtteil);2030;Insgesamt;226;518;-292;2670;2476;194;-97;30971;48,7
04011511;Burg-Grambke (Ortsteil);2030;Männlich;22;46;-24;282;266;15;-9;3162;46,4
04011511;Burg-Grambke (Ortsteil);2030;Weiblich;21;49;-28;252;234;18;-10;3170;50,0
04011511;Burg-Grambke (Ortsteil);2030;Insgesamt;43;95;-52;534;501;33;-18;6331;48,2
04011512;Werderland (Ortsteil);2030;Männlich;1;4;-3;12;9;3;0;181;50,3
04011512;Werderland (Ortsteil);2030;Weiblich;1;2;0;12;12;0;0;166;48,8
04011512;Werderland (Ortsteil);2030;Insgesamt;2;6;-3;25;21;3;0;347;49,6
04011513;Burgdamm (Ortsteil);2030;Männlich;42;59;-18;441;436;5;-13;5007;44,9
04011513;Burgdamm (Ortsteil);2030;Weiblich;39;59;-20;397;397;0;-21;5061;46,7
04011513;Burgdamm (Ortsteil);2030;Insgesamt;81;119;-38;838;833;5;-33;10067;45,8
04011514;Lesum (Ortsteil);2030;Männlich;31;86;-55;403;354;48;-6;4147;48,3
04011514;Lesum (Ortsteil);2030;Weiblich;30;94;-64;386;342;44;-20;4231;52,5
04011514;Lesum (Ortsteil);2030;Insgesamt;61;180;-119;789;696;93;-26;8379;50,4
04011515;St  Magnus (Ortsteil);2030;Männlich;20;48;-28;232;212;20;-8;2776;48,4
04011515;St  Magnus (Ortsteil);2030;Weiblich;19;71;-52;253;212;41;-12;3072;54,4
04011515;St  Magnus (Ortsteil);2030;Insgesamt;39;119;-80;485;424;60;-19;5847;51,6
0401152;Vegesack (Stadtteil);2030;Männlich;110;208;-99;1698;1631;67;-32;15752;46,3
0401152;Vegesack (Stadtteil);2030;Weiblich;104;192;-88;1453;1438;15;-73;15347;48,3
0401152;Vegesack (Stadtteil);2030;Insgesamt;213;400;-187;3152;3069;82;-105;31100;47,3
04011521;Vegesack (Ortsteil);2030;Männlich;21;44;-23;349;335;15;-8;2927;48,2
04011521;Vegesack (Ortsteil);2030;Weiblich;20;38;-18;322;318;4;-14;3187;50,9
04011521;Vegesack (Ortsteil);2030;Insgesamt;41;82;-41;671;652;19;-22;6114;49,6
04011522;Grohn (Ortsteil);2030;Männlich;21;34;-13;399;397;2;-11;2704;42,6
04011522;Grohn (Ortsteil);2030;Weiblich;20;29;-9;340;344;-4;-13;2645;43,9
04011522;Grohn (Ortsteil);2030;Insgesamt;42;63;-21;739;741;-2;-24;5348;43,2
04011523;Schönebeck (Ortsteil);2030;Männlich;19;33;-13;233;222;10;-3;2543;46,1
04011523;Schönebeck (Ortsteil);2030;Weiblich;18;35;-17;212;206;5;-12;2496;48,5
04011523;Schönebeck (Ortsteil);2030;Insgesamt;38;68;-30;444;429;16;-15;5039;47,3
04011524;Aumund-Hammersbeck (Ortsteil);2030;Männlich;24;46;-22;294;275;19;-3;3632;46,6
04011524;Aumund-Hammersbeck (Ortsteil);2030;Weiblich;23;38;-15;259;259;0;-15;3472;47,4
04011524;Aumund-Hammersbeck (Ortsteil);2030;Insgesamt;47;84;-36;553;534;19;-18;7104;47,0
04011525;Fähr-Lobbendorf (Ortsteil);2030;Männlich;24;52;-28;423;401;22;-7;3947;47,2
04011525;Fähr-Lobbendorf (Ortsteil);2030;Weiblich;22;52;-29;322;311;10;-19;3548;50,0
04011525;Fähr-Lobbendorf (Ortsteil);2030;Insgesamt;46;104;-58;745;713;32;-26;7494;48,5
0401153;Blumenthal (Stadtteil);2030;Männlich;115;187;-71;1340;1301;40;-32;14612;45,2
0401153;Blumenthal (Stadtteil);2030;Weiblich;109;175;-66;1172;1161;10;-55;14496;47,4
0401153;Blumenthal (Stadtteil);2030;Insgesamt;224;361;-137;2512;2462;50;-87;29108;46,3
04011531;Blumenthal (Ortsteil);2030;Männlich;39;53;-14;468;465;3;-11;4532;43,2
04011531;Blumenthal (Ortsteil);2030;Weiblich;37;45;-8;389;400;-10;-18;4416;45,2
04011531;Blumenthal (Ortsteil);2030;Insgesamt;76;98;-22;857;865;-8;-29;8948;44,2
04011532;Rönnebeck (Ortsteil);2030;Männlich;11;31;-21;187;171;16;-5;1980;48,2
04011532;Rönnebeck (Ortsteil);2030;Weiblich;10;43;-32;179;155;25;-8;2028;53,5
04011532;Rönnebeck (Ortsteil);2030;Insgesamt;21;74;-53;366;326;40;-12;4008;50,9
04011533;Lüssum-Bockhorn (Ortsteil);2030;Männlich;48;70;-22;492;483;9;-13;5643;44,3
04011533;Lüssum-Bockhorn (Ortsteil);2030;Weiblich;45;62;-17;425;430;-5;-22;5667;46,2
04011533;Lüssum-Bockhorn (Ortsteil);2030;Insgesamt;93;132;-39;917;913;4;-35;11309;45,3
04011534;Farge (Ortsteil);2030;Männlich;11;19;-7;121;116;5;-2;1370;47,2
04011534;Farge (Ortsteil);2030;Weiblich;11;13;-2;110;111;-2;-4;1333;47,8
04011534;Farge (Ortsteil);2030;Insgesamt;22;32;-9;231;228;3;-6;2704;47,5
04011535;Rekum (Ortsteil);2030;Männlich;6;14;-8;72;65;7;0;1087;50,0
04011535;Rekum (Ortsteil);2030;Weiblich;6;12;-6;69;66;3;-3;1052;50,3
04011535;Rekum (Ortsteil);2030;Insgesamt;12;26;-14;141;131;10;-4;2139;50,1
04012;Stadt Bremerhaven;2030;Männlich;434;774;-340;.;.;197;-143;52660;44,8
04012;Stadt Bremerhaven;2030;Weiblich;409;677;-267;.;.;18;-249;51912;47,6
04012;Stadt Bremerhaven;2030;Insgesamt;843;1450;-607;.;.;216;-392;104572;46,2

1) Modellrechnung; Basiszeitpunkt 31.12.2013 (Fortschreibung auf Grundlage des Zensus 2011). Ohne Berücksichtigung geplanter Wohnungsbauvorhaben. Modellannahmen: siehe Begriffserläuterung > Bevölkerungsvorausschätzung.

2) Über Ortsteilgrenzen.


© Statistisches Landesamt Bremen
